id,date,text,url,views,forwards,replies
345042,,"4:44
مسعود پزشکیان شایعات مربوط به استعفای خود را رد کرد و گفت ادعای اینکه رییس‌جمهور با تهدید به استعفا موجب تغییر تصمیم نهادهای عالی کشور شده باشد، «فاقد اعتبار» است.

جمشید برزگر، روزنامه‌نگار و تحلیلگر سیاسی، گفت دولت پزشکیان نقشی در تصمیم‌گیری‌های عالی در فرآیند مذاکرات ندارد.
@iranintltv
5.3K
05:43 AM",https://t.me/IranintlTV/345042,,,
345041,,"اخبار بامدادی | سه‌شنبه ۹ تیر

41:34
نسخه صوتی اخبار بامدادی | سه‌شنبه ۹ تیر
@iranintlTV
5.3K
05:43 AM",https://t.me/IranintlTV/345041,,,
345040,,"محسن طاهری، عضو مجلس خبرگان گفت: «هدف جمهوری اسلامی در مذاکرات باید دریافت غرامت و خسارت‌های وارد شده باشد، در حالی که طرف مقابل تلاش دارد از مسیر مذاکره به اهدافی برسد که در میدان جنگ موفق به تحقق آن نشده است.»
 
او ادامه داد: «آنچه اهمیت دارد، ایستادگی بر خطوط قرمز تعیین‌شده از سوی رهبری است و تیم مذاکره‌کننده نباید از این اصول کوتاه بیاید.»
https://iranintl.com/202606305601
16.9K
05:21 AM",https://t.me/IranintlTV/345040,,,
345039,,"چاک شومر، رهبر اقلیت دموکرات‌های سنای آمریکا، پس از جلسه توجیهی محرمانه درباره تفاهم‌نامه واشینگتن و تهران، از دولت دونالد ترامپ انتقاد کرد و گفت مشخص نیست آمریکا از این توافق چه دستاوردی به دست آورده است.

شومر گفت مارکو روبیو، وزیر خارجه آمریکا، تایید کرده جمهوری اسلامی همچنان اهرم فشار خود بر تنگه هرمز را حفظ خواهد کرد و میلیاردها دلار درآمد نفتی به دست خواهد آورد.

او افزود دولت ترامپ پس از ورود آمریکا به این جنگ، هنوز نتوانسته توضیح دهد این توافق چه منفعت مشخصی برای ایالات متحده داشته است.
https://iranintl.com/202606307031
26.6K
04:53 AM",https://t.me/IranintlTV/345039,,,
345038,,"لی جائه میونگ، رییس‌جمهور کره جنوبی، گفت به جز دو کشتی، سایر شناورهای این کشور پس از ماه‌ها از تنگه هرمز عبور کرده‌اند.

به گزارش خبرگزاری یونهاپ، او گفت دو کشتی باقی‌مانده به دلیل برخی شرایط هنوز امکان عبور از تنگه هرمز را ندارند؛ آبراهی که پس از حملات آمریکا و اسرائیل به ایران برای ماه‌ها مسدود شده بود.

لی با هشدار درباره ادامه تبعات این بحران گفت حتی پس از امضای توافق صلح، بازگشت کامل اقتصاد جهانی به وضعیت عادی زمان‌بر خواهد بود و از دولت کره جنوبی خواست آمادگی خود را حفظ کرده و برای متنوع‌سازی زنجیره تامین انرژی و مواد اولیه برنامه‌ریزی کند.
https://iranintl.com/202606304006
30.9K
04:36 AM",https://t.me/IranintlTV/345038,,,
345037,,"0:56
جاویدنامان انقلاب ملی ایرانیان
«ستاره رفیعی» ۱۹ دی‌ماه در نارمک تهران با شلیک گلوله نیروهای سرکوب جمهوری اسلامی به سرش کشته شد. نامش در حافظه‌ی این سرزمین می‌ماند و یادش چراغ راه آزادی‌خواهان است.
@iranintltv
27.7K
04:36 AM",https://t.me/IranintlTV/345037,,,
345036,,"1:24
سرخط خبرهای سه‌شنبه ۹ تیر
@iranintltv
28.8K
04:28 AM",https://t.me/IranintlTV/345036,,,
345035,,"کوییرهای ایرانی شرکت‌کننده در رژه افتخار روز یکشنبه در تورنتو کانادا، در بیانیه خود از دولت کانادا به دلیل مطرح کردن احتمال تعامل دیپلماتیک با جمهوری اسلامی انتقاد کردند و چنین رویه‌ای را «سیلی سنگین دیگری بر صورت خونین مردم مبارز ایران» خواندند.
این بیانیه نوشت: «در حالی که بزرگ‌ترین دغدغه ایرانیان خارج از کشور مبارزه با شاخه‌های نفوذ اختاپوس جمهوری اسلامی است‌، زمزمه‌های دولت کانادا برای از سرگیری تعامل دیپلماتیک با جمهوری اسلامی، سیلی سنگین دیگری است بر صورت خونین مردم مبارز ایران.»
این بیانیه تاکید کرد: «انقلاب ملی مردم ایران اما ادامه دارد و همه ما دست در دست هم و سیمرغ‌وار این مسیر سخت را تا پیروزی نهایی طی می‌کنیم.»

https://iranintl.com/202606301130
28.9K
04:25 AM",https://t.me/IranintlTV/345035,,,
345034,,"تیم ملی فوتبال مراکش با شکست هلند در ضربات پنالتی، به مرحله یک‌هشتم نهایی جام جهانی ۲۰۲۶ صعود کرد.

دیدار دو تیم در مرحله یک‌شانزدهم نهایی پس از تساوی یک بر یک در پایان ۱۲۰ دقیقه، به ضربات پنالتی کشیده شد و مراکش در نهایت با برتری ۴ بر ۳ به پیروزی رسید.

مراکش با این پیروزی به جمع ۱۶ تیم برتر جام جهانی ۲۰۲۶ راه یافت.
https://iranintl.com/202606305711
27.9K
04:23 AM",https://t.me/IranintlTV/345034,,,
345033,,"اعضای جامعه ال‌جی‌بی‌تی‌کیو ایرانی در تورنتو کانادا با شعار «آزادی برای ایران» در رژه افتخار این شهر شرکت کردند. شرکت‌کنندگان ایرانی در این رژه که یکی از پربازدیدترین رویدادهای خیابانی جهان به شمار می‌رود، در بیانیه خود بر ادامه مبارزه تا پیروزی نهایی انقلاب ملی مردم ایران تاکید کردند.
در رژه گروه ایرانی که یک‌شنبه ۷ تیر با هماهنگی سازمان کوییرهای ایرانی سیمرغ برگزار شد، ده‌ها نفر از فعالان ال‌جی‌بی‌تی‌کیو ایرانی و افغانستانی، درگ آرتیست‌ها و تعدادی از فعالان مدنی ایرانی و کانادایی حضور داشتند. 
نازنین نایب، زن لزبین ایرانی، با حمل پرچم شیروخورشید در جلوی صف، پرچم‌دار این رژه بود. گروهی از درگ‌آرتیست‌های ایرانی نیز در صف مقدم بودند و در پشت سر آنها شرکت‌کنندگان در یک بنر بلند که سراسر عرض خیابان یانگ تورنتو را پوشانده بود، شعار «آزادی برای ایران» را به زبان انگلیسی حمل می‌کردند. 
شرکت‌کنندگان همچنین یک بنر بزرگ رنگین‌کمانی با شعار «زن، زندگی، آزادی»، درفش کاویانی و بنرهای مختلفی در حمایت از جاویدنامان و معترضان ایران را در دست داشتند.
https://iranintl.com/202606309486
47.9K
02:53 AM",https://t.me/IranintlTV/345033,,,
