id,date,text,url,views,forwards,replies
359286,,6:38 با پایان سفر هیات جمهوری اسلامی به آمریکا، سخنرانی مسعود پزشکیان در مجمع عمومی سازمان ملل و دو مصاحبه او در این کشور، شهروندان در پیام‌هایی به ایران‌اینترنشنال همچنان به مواضع او واکنش نشان می‌دهند و می‌گویند او نماینده ایران نبود، بلکه نماینده غزه و لبنان بود. همچنین نشست رسانه‌ای پزشکیان با شماری از چهره‌های رسانه‌ای که نماینده دولت بایدن در امور ایران نیز در آن حضور داشت، با واکنش‌هایی مواجه شده است. در مرکز این واکنش‌ها، سخنان پزشکیان علیه انقلاب ملی و اتهامات او علیه معترضان به حکومت مورد توجه و انتقاد قرار گرفته است. جزییات بیشتر در گفت‌وگو با محسن مهیمنی، عضو تحریریه ایران‌اینترنشنال @iranintltv 9.3K 10:20 AM,https://t.me/IranintlTv/359286,,,
359285,,... کنفرانس «بحران حقوق بشر در ایران؛ از اصول مشترک تا اقدام مشترک» در آکادمی علوم و ادبیات نروژ در اسلو در حال برگزاری است. نمایندگان شماری از احزاب و سازمان‌های سیاسی در این کنفرانس گرد هم آمده‌اند و یکی از بخش‌های اصلی نشست، امضای سند «اصول حداقلی حقوق بشری» است که با حضور نمایندگان احزاب و سازمان‌های سیاسی تاییدکننده این سند انجام می‌شود. محمود امیری‌مقدم، دبیر سازمان حقوق بشر ایران، در گفت‌وگو با مهران عباسیان، خبرنگار ایران‌اینترنشنال، گفت این سند پس از چند ماه گفت‌وگو میان گروه‌های مختلف تهیه شده و ۱۵ حزب و تشکل سیاسی آن را پذیرفته‌اند. او افزود هدف این است که گروه‌ها بر اصول بنیادین حقوق بشر توافق کنند و برای مقابله با اعدام‌ها و بازداشت‌ها و کمک به مردم ایران همکاری داشته باشند. @iranintltv 8.3K 10:20 AM,https://t.me/IranintlTv/359285,,,
359284,,علی‌سجاد جلالی، رییس اداره حفاظت محیط زیست دشت‌آزادگان، گفت: «در حال حاضر ۳۵ درصد از تالاب هورالعظیم آب دارد و ۶۵ تا ۷۰ درصد آن خشک است و اصلا وضعیت خوبی ندارد. این در حالی است که همواره باید حق‌آبه هورالعظیم در هر شرایطی و به صورت دائمی تامین شود.» او ادامه داد: «با توجه به پیش‌بینی افزایش بارش‌ها و احتمال وقوع سیلاب، امیدواریم از این ظرفیت برای هدایت آب‌های سطحی به سمت تالاب استفاده شود.» iranintl.com/202609262375 14.6K 10:03 AM,https://t.me/IranintlTv/359284,,,
359283,,0:30 مجموعه مستند آمران کشتار بخش دوم: کردستان، کرمانشاه، آذربایجان غربی شنبه ساعت ۱۷:۴۶ و ۲۱:۴۵ به وقت تهران از ایران‌اینترنشنال @iranintltv 22.7K 09:47 AM,https://t.me/IranintlTv/359283,,,
359282,,Forwarded from ایران اینترنشنال ورزشی مهدی تاج، رئیس فدراسیون فوتبال در واکنش به حذف فاجعه‌بار تیم زیر ۲۳ سال ایران در بازی‌های آسیایی به ایسنا گفت که استعفای حسین عبدی،‌ پذیرفته شده: «به نظر من تیم ملی امید می‌توانست نتیجه بهتری کسب کند و انتظار ما نیز به مراتب بیشتر از این بود، من خود نیز منتقد تیم ملی امید هستم. استعفای عبدی توسط کمیته تیم‌های ملی مورد قبول واقع شده است.» رئیس فدراسیون همچنین درباره باخت تیم ملی در برابر ازبکستان گفت: «درباره تیم ملی بزرگسالان نمی‌خواهم بگویم نتایج به‌دست‌آمده نتیجه خوبی بوده است، اما بازی‌های تدارکاتی برای نباختن برگزار نمی‌شود. تیم‌ها در این مسابقات به دنبال کار کردن، طراحی برنامه‌ها و آماده شدن برای دیدارهای رسمی و آینده هستند تا بتوانند در مسابقات آسیایی شرایط بهتری داشته باشند.» تاج گفت که فدراسیون فوتبال، بهترین شرایط را برای تیم‌های ملی فراهم کرده است: «وظیفه فدراسیون فوتبال، انتخاب سرمربی، اعضای کادر فنی و فراهم کردن بهترین شرایط برای تیم‌های ملی است. ما از نظر برگزاری اردو، امکانات و شرایط لازم، هم برای تیم ملی امید و هم برای تیم ملی بزرگ,https://t.me/IranintlTv/359282,,,
359281,,مسعود پزشکیان، رییس دولت جمهوری اسلامی، به الجزیره گفت: «آمریکا و اسرائیل با ایجاد اختلاف میان کشورهای مسلمان به دنبال کنترل ثروت‌های منطقه هستند و این دو کشور برای حمله به ما، از حریم هوایی کشورهای مسلمان استفاده کردند.» پزشکیان در خصوص رخدادهای یمن، گفت که تحولات یمن ارتباطی با جمهوری اسلامی ندارد و حوثی‌ها و عربستان سعودی باید اختلافات خود را از طریق گفت‌وگو حل کنند و ما می‌توانیم به حل این اختلاف کمک کنیم. او ادامه داد: «بحران تنگه هرمز از طریق مذاکره قابل حل است، نه با استفاده از زور و در صورت دستیابی به توافق از طریق مذاکرات، تنگه هرمز برای تجارت باز خواهد ماند.» پزشکیان در خصوص مذاکره با آمریکا نیز گفت: «جمهوری اسلامی پس از حملات و تحریم‌های مکرر پس از هر مذاکره، دیگر به گفت‌وگو با واشینگتن اعتماد ندارد اما قطر و پاکستان در حال میانجی‌گری میان تهران و واشینگتن و انتقال پیام‌های دو طرف هستند.» iranintl.com/202609268471 3.1K 09:27 AM,https://t.me/IranintlTv/359281,,,
359280,,حسینعلی حاجی‌دلیگانی، نایب‌رییس کمیسیون اصل ۹۰ مجلس، به سایت دیده‌بان ایران گفت: «باید جاهایی که علیه جمهوری اسلامی پروازی صورت می‌گیرد یا موشکی علیه ایران شلیک می‌شود را مورد هدف قرار دهیم. نباید بگذاریم کشورهای حوزه خلیج فارس، هر کاری می‌خواهند انجام بدهند و شیخ‌نشین‌ها و پادشاهانشان، در کاخ‌های مجلل آرام زندگی کنند. تمام کاخ‌های آن‌ها باید مورد هدف قرار گیرد.» حاجی‌دلیگانی با اشاره به اینکه «کشورهای دشمن» ما سلاح هسته‌ای دارند، گفت: «ما هم باید روی این موضوع اقدام کنیم تا در مقابل جنایات آمریکایی‌ها بازدارندگی ایجاد کنیم.» حاجی‌دلیگانی درباره مطرح شدن طرح‌عدم کفایت رییس جمهوری گفت: «در حال حاضر، سوال وعدم کفایت سیاسی رییس‌جمهور، در حد صحبت بوده و کار اجرایی در این باره صورت نگرفته است.» او اضافه کرد: «به‌دلیل حضور اسدی، عضو هیات نمایندگی جمهوری اسلامی در سازمان ملل در مجمع هنگام سخنرانی ترامپ، مجلس در یک تذکر خواستار برکناری اسدی از این سمت و اخراج او از وزارت خارجه شده است.» iranintl.com/202609266123 10.6K 09:13 AM,https://t.me/IranintlTv/359280,,,
359279,,4:48 محمدجواد اکبرین، عضو تحریریه ایران‌اینترنشنال، با اشاره به تشدید اختلاف جریان‌های سیاسی در جمهوری اسلامی بر سر مذاکره با آمریکا و کشورهای منطقه گفت مشکل اصلی این جریان‌ها نداشتن «زبان مشترک» است و شرایط جنگی نیز نتوانسته این اختلاف‌ها را از میان ببرد. او افزود نبود سیاست واحد در قبال مذاکره، کشورهای منطقه و گروه‌های نیابتی، بخشی از حامیان جمهوری اسلامی را دچار سردرگمی کرده و باعث شده اختلاف‌ها و انتقادهای درونی شدت بگیرد. @iranintltv 15.2K 09:02 AM,https://t.me/IranintlTv/359279,,,
359278,,4:49 روح‌الله رحیم‌پور، روزنامه‌نگار و تحلیلگر سیاسی، با اشاره به سخنان نواف سلام، نخست‌وزیر لبنان، درباره انحصار سلاح در دست دولت گفت مطرح شدن چنین موضعی در لبنان و عراق نشان می‌دهد این دو کشور به سمت الگویی حرکت می‌کنند که در آن تصمیم جنگ و صلح و استفاده از سلاح در اختیار دولت‌ها باشد. او افزود این روند می‌تواند مدل نفوذ جمهوری اسلامی و نیروهای مسلح موازی در لبنان و عراق را با چالش مواجه کند و در صورت بسته شدن مسیرهای رسمی حمایت، سپاه پاسداران احتمالا به سمت شبکه‌های کوچک‌تر، غیررسمی‌تر و قابل انکارتر حرکت خواهد کرد. @iranintltv 23.1K 08:40 AM,https://t.me/IranintlTv/359278,,,
359277,,Forwarded from ایران اینترنشنال ورزشی گاردین گزارش داد لیگ برتر انگلیس، لالیگا، سری آ و بوندس‌لیگا با افزایش فشار بر جیانی اینفانتینو، خواستار اصلاحات اساسی در ساختار مدیریتی فیفا شدند. آن‌ها از «توسعه‌طلبی» فیفا انتقاد کرده و اینفانتینو، رییس فیفا را به ترویج «ایده‌های استثمارگرانه» متهم کرده‌اند. آن‌ها همچنین با اشاره به پرونده فولارین بالوگان خواستار افزایش سازوکارهای کنترل و نظارت شده‌اند تا اطمینان حاصل شود که «پرونده‌های انضباطی افراد به شکلی آشکار و قابل اثبات از دخالت سیاسی مصون می‌ماند». مدت‌هاست میان لیگ‌های بزرگ اروپا و فیفا تنش وجود دارد؛ به‌ویژه بر سر تقویم روزبه‌روز فشرده‌تر فوتبال. راه‌اندازی و گسترش رقابت‌های جدیدی مانند جام جهانی باشگاه‌ها نیز به این اختلاف‌ها دامن زده است. گروه «لیگ‌های اروپایی» دو سال پیش با ارایه شکایتی به کمیسیون اروپا، فیفا را به اقدامات سو استفاده‌گرانه متهم کرد. دامنه این شکایت از آن زمان به فوتبال زنان نیز گسترش یافته است. جزییات بیشتر @iranintltvsport 21.9K 08:38 AM,https://t.me/IranintlTv/359277,,,
